,isi_tweet,sentimen,case_folding,remove_user,cleansing,tokenizing,normalization,remove_stop_word,stemming
0,"RT @RenaHoston178: Setelah dunia berangsur-angsur pulih dari pandemi Covid-19, fondasi tersebut akan menciptakan kesempatan bagi Indonesia…",pos,"rt @renahoston178: setelah dunia berangsur-angsur pulih dari pandemi covid-19, fondasi tersebut akan menciptakan kesempatan bagi indonesia…","rt : setelah dunia berangsur-angsur pulih dari pandemi covid-19, fondasi tersebut akan menciptakan kesempatan bagi indonesia…",  setelah dunia berangsurangsur pulih dari pandemi covid fondasi tersebut akan menciptakan kesempatan bagi indonesia,"['setelah', 'dunia', 'berangsurangsur', 'pulih', 'dari', 'pandemi', 'covid', 'fondasi', 'tersebut', 'akan', 'menciptakan', 'kesempatan', 'bagi', 'indonesia']","['setelah', 'dunia', 'berangsurangsur', 'pulih', 'dari', 'pandemi', 'covid', 'fondasi', 'tersebut', 'akan', 'menciptakan', 'kesempatan', 'bagi', 'indonesia']","['dunia', 'berangsurangsur', 'pulih', 'pandemi', 'covid', 'fondasi', 'menciptakan', 'kesempatan', 'indonesia']","['dunia', 'berangsurangsur', 'pulih', 'pandemi', 'covid', 'fondasi', 'cipta', 'sempat', 'indonesia']"
1,"RT @jokowi: Pekan kemarin, Indonesia mencapai babak baru vaksinasi massal Covid-19, yakni telah menyuntikkan lebih dari 200 juta dosis vaks…",neutral,"rt @jokowi: pekan kemarin, indonesia mencapai babak baru vaksinasi massal covid-19, yakni telah menyuntikkan lebih dari 200 juta dosis vaks…","rt : pekan kemarin, indonesia mencapai babak baru vaksinasi massal covid-19, yakni telah menyuntikkan lebih dari 200 juta dosis vaks…",  pekan kemarin indonesia mencapai babak baru vaksinasi massal covid yakni telah menyuntikkan lebih dari  juta dosis vaks,"['pekan', 'kemarin', 'indonesia', 'mencapai', 'babak', 'baru', 'vaksinasi', 'massal', 'covid', 'yakni', 'telah', 'menyuntikkan', 'lebih', 'dari', 'juta', 'dosis', 'vaks']","['pekan', 'kemarin', 'indonesia', 'mencapai', 'babak', 'baru', 'vaksinasi', 'massal', 'covid', 'yakni', 'telah', 'menyuntikkan', 'lebih', 'dari', 'juta', 'dosis', 'vaks']","['pekan', 'kemarin', 'indonesia', 'mencapai', 'babak', 'vaksinasi', 'massal', 'covid', 'menyuntikkan', 'juta', 'dosis', 'vaks']","['pekan', 'kemarin', 'indonesia', 'capai', 'babak', 'vaksinasi', 'massal', 'covid', 'suntik', 'juta', 'dosis', 'vaks']"
2,Kegiatan Konferensi IAWP menjadi bukti kepada seluruh dunia bahwa Indonesia mampu melaksanakan acara berskala Inter… https://t.co/uKMWDvcxOm,pos,kegiatan konferensi iawp menjadi bukti kepada seluruh dunia bahwa indonesia mampu melaksanakan acara berskala inter… https://t.co/ukmwdvcxom,kegiatan konferensi iawp menjadi bukti kepada seluruh dunia bahwa indonesia mampu melaksanakan acara berskala inter… https://t.co/ukmwdvcxom,kegiatan konferensi iawp menjadi bukti kepada seluruh dunia bahwa indonesia mampu melaksanakan acara berskala inter,"['kegiatan', 'konferensi', 'iawp', 'menjadi', 'bukti', 'kepada', 'seluruh', 'dunia', 'bahwa', 'indonesia', 'mampu', 'melaksanakan', 'acara', 'berskala', 'inter']","['kegiatan', 'konferensi', 'iawp', 'menjadi', 'bukti', 'kepada', 'seluruh', 'dunia', 'bahwa', 'indonesia', 'mampu', 'melaksanakan', 'acara', 'berskala', 'inter']","['kegiatan', 'konferensi', 'iawp', 'bukti', 'dunia', 'indonesia', 'melaksanakan', 'acara', 'berskala', 'inter']","['giat', 'konferensi', 'iawp', 'bukti', 'dunia', 'indonesia', 'laksana', 'acara', 'skala', 'inter']"
3,RT @ballapann: Vaksinasi untuk anak usia sekolah dasar ini dianggap penting karena jumlah anak di Indonesia yang mengidap Covid-19 tergolon…,pos,rt @ballapann: vaksinasi untuk anak usia sekolah dasar ini dianggap penting karena jumlah anak di indonesia yang mengidap covid-19 tergolon…,rt : vaksinasi untuk anak usia sekolah dasar ini dianggap penting karena jumlah anak di indonesia yang mengidap covid-19 tergolon…,  vaksinasi untuk anak usia sekolah dasar ini dianggap penting karena jumlah anak di indonesia yang mengidap covid tergolon,"['vaksinasi', 'untuk', 'anak', 'usia', 'sekolah', 'dasar', 'ini', 'dianggap', 'penting', 'karena', 'jumlah', 'anak', 'di', 'indonesia', 'yang', 'mengidap', 'covid', 'tergolon']","['vaksinasi', 'untuk', 'anak', 'usia', 'sekolah', 'dasar', 'ini', 'dianggap', 'penting', 'karena', 'jumlah', 'anak', 'di', 'indonesia', 'yang', 'mengidap', 'covid', 'tergolon']","['vaksinasi', 'anak', 'usia', 'sekolah', 'dasar', 'dianggap', 'anak', 'indonesia', 'mengidap', 'covid', 'tergolon']","['vaksinasi', 'anak', 'usia', 'sekolah', 'dasar', 'anggap', 'anak', 'indonesia', 'idap', 'covid', 'tergolon']"
4,Indonesia akan mengimpor obat COVID-19 Molnupiravir sebanyak 600 ribu sampai 1 juta tablet pada Desember mendatang. https://t.co/FtUoQwshRZ,neutral,indonesia akan mengimpor obat covid-19 molnupiravir sebanyak 600 ribu sampai 1 juta tablet pada desember mendatang. https://t.co/ftuoqwshrz,indonesia akan mengimpor obat covid-19 molnupiravir sebanyak 600 ribu sampai 1 juta tablet pada desember mendatang. https://t.co/ftuoqwshrz,indonesia akan mengimpor obat covid molnupiravir sebanyak  ribu sampai  juta tablet pada desember mendatang,"['indonesia', 'akan', 'mengimpor', 'obat', 'covid', 'molnupiravir', 'sebanyak', 'ribu', 'sampai', 'juta', 'tablet', 'pada', 'desember', 'mendatang']","['indonesia', 'akan', 'mengimpor', 'obat', 'covid', 'molnupiravir', 'sebanyak', 'ribu', 'sampai', 'juta', 'tablet', 'pada', 'desember', 'mendatang']","['indonesia', 'mengimpor', 'obat', 'covid', 'molnupiravir', 'ribu', 'juta', 'tablet', 'desember']","['indonesia', 'impor', 'obat', 'covid', 'molnupiravir', 'ribu', 'juta', 'tablet', 'desember']"
5,"""Kita harapkan momen ini menjadi momen bagi kita untuk menunjukkan kepada dunia bahwa Indonesia mampu menghentikan… https://t.co/Lu52682B5v",neutral,"""kita harapkan momen ini menjadi momen bagi kita untuk menunjukkan kepada dunia bahwa indonesia mampu menghentikan… https://t.co/lu52682b5v","""kita harapkan momen ini menjadi momen bagi kita untuk menunjukkan kepada dunia bahwa indonesia mampu menghentikan… https://t.co/lu52682b5v",kita harapkan momen ini menjadi momen bagi kita untuk menunjukkan kepada dunia bahwa indonesia mampu menghentikan,"['kita', 'harapkan', 'momen', 'ini', 'menjadi', 'momen', 'bagi', 'kita', 'untuk', 'menunjukkan', 'kepada', 'dunia', 'bahwa', 'indonesia', 'mampu', 'menghentikan']","['kita', 'harapkan', 'momen', 'ini', 'menjadi', 'momen', 'bagi', 'kita', 'untuk', 'menunjukkan', 'kepada', 'dunia', 'bahwa', 'indonesia', 'mampu', 'menghentikan']","['harapkan', 'momen', 'momen', 'dunia', 'indonesia', 'menghentikan']","['harap', 'momen', 'momen', 'dunia', 'indonesia', 'henti']"
6,Kegiatan Konferensi IAWP menjadi bukti kepada seluruh dunia bahwa Indonesia mampu melaksanakan acara berskala Inter… https://t.co/O6TP5wxNuV,neutral,kegiatan konferensi iawp menjadi bukti kepada seluruh dunia bahwa indonesia mampu melaksanakan acara berskala inter… https://t.co/o6tp5wxnuv,kegiatan konferensi iawp menjadi bukti kepada seluruh dunia bahwa indonesia mampu melaksanakan acara berskala inter… https://t.co/o6tp5wxnuv,kegiatan konferensi iawp menjadi bukti kepada seluruh dunia bahwa indonesia mampu melaksanakan acara berskala inter,"['kegiatan', 'konferensi', 'iawp', 'menjadi', 'bukti', 'kepada', 'seluruh', 'dunia', 'bahwa', 'indonesia', 'mampu', 'melaksanakan', 'acara', 'berskala', 'inter']","['kegiatan', 'konferensi', 'iawp', 'menjadi', 'bukti', 'kepada', 'seluruh', 'dunia', 'bahwa', 'indonesia', 'mampu', 'melaksanakan', 'acara', 'berskala', 'inter']","['kegiatan', 'konferensi', 'iawp', 'bukti', 'dunia', 'indonesia', 'melaksanakan', 'acara', 'berskala', 'inter']","['giat', 'konferensi', 'iawp', 'bukti', 'dunia', 'indonesia', 'laksana', 'acara', 'skala', 'inter']"
7,"RT @myputun: Tingkat Kelaparan Indonesia Peringkat Tiga Tertinggi di Asia Tenggara pada 2021.
MIRISSSS!!!
Hanya Setahun Harta Kekayaan Peja…",neg,"rt @myputun: tingkat kelaparan indonesia peringkat tiga tertinggi di asia tenggara pada 2021.
mirissss!!!
hanya setahun harta kekayaan peja…","rt : tingkat kelaparan indonesia peringkat tiga tertinggi di asia tenggara pada 2021.
mirissss!!!
hanya setahun harta kekayaan peja…",  tingkat kelaparan indonesia peringkat tiga teinggi di asia tenggara pada  mirissss hanya setahun haa kekayaan peja,"['tingkat', 'kelaparan', 'indonesia', 'peringkat', 'tiga', 'teinggi', 'di', 'asia', 'tenggara', 'pada', 'mirissss', 'hanya', 'setahun', 'haa', 'kekayaan', 'peja']","['tingkat', 'kelaparan', 'indonesia', 'peringkat', 'tiga', 'teinggi', 'di', 'asia', 'tenggara', 'pada', 'mirissss', 'hanya', 'setahun', 'ha', 'kekayaan', 'peja']","['tingkat', 'kelaparan', 'indonesia', 'peringkat', 'teinggi', 'asia', 'tenggara', 'mirissss', 'setahun', 'ha', 'kekayaan', 'peja']","['tingkat', 'lapar', 'indonesia', 'peringkat', 'teinggi', 'asia', 'tenggara', 'mirissss', 'tahun', 'ha', 'kaya', 'peja']"
8,RT @budimandjatmiko: Pria India yg dgn kekuatan bisnis/ekonominya memungkinkan penyebaran vaksin anti #COVID19 merata/meluas &amp; seorang pere…,pos,rt @budimandjatmiko: pria india yg dgn kekuatan bisnis/ekonominya memungkinkan penyebaran vaksin anti #covid19 merata/meluas &amp; seorang pere…,rt : pria india yg dgn kekuatan bisnis/ekonominya memungkinkan penyebaran vaksin anti #covid19 merata/meluas &amp; seorang pere…,  pria india yg dgn kekuatan bisnisekonominya memungkinkan penyebaran vaksin anti meratameluas amp seorang pere,"['pria', 'india', 'yg', 'dgn', 'kekuatan', 'bisnisekonominya', 'memungkinkan', 'penyebaran', 'vaksin', 'anti', 'meratameluas', 'amp', 'seorang', 'pere']","['pria', 'india', 'yang', 'dengan', 'kekuatan', 'bisnisekonominya', 'memungkinkan', 'penyebaran', 'vaksin', 'anti', 'meratameluas', 'amp', 'seorang', 'pere']","['pria', 'india', 'kekuatan', 'bisnisekonominya', 'penyebaran', 'vaksin', 'anti', 'meratameluas', 'pere']","['pria', 'india', 'kuat', 'bisnisekonominya', 'sebar', 'vaksin', 'anti', 'meratameluas', 'pere']"
9,Presiden: Indonesia capai babak baru dalam vaksinasi COVID-19 https://t.co/eaCNVHxDFq,neutral,presiden: indonesia capai babak baru dalam vaksinasi covid-19 https://t.co/eacnvhxdfq,presiden: indonesia capai babak baru dalam vaksinasi covid-19 https://t.co/eacnvhxdfq,presiden indonesia capai babak baru dalam vaksinasi covid,"['presiden', 'indonesia', 'capai', 'babak', 'baru', 'dalam', 'vaksinasi', 'covid']","['presiden', 'indonesia', 'capai', 'babak', 'baru', 'dalam', 'vaksinasi', 'covid']","['presiden', 'indonesia', 'capai', 'babak', 'vaksinasi', 'covid']","['presiden', 'indonesia', 'capai', 'babak', 'vaksinasi', 'covid']"
10,"RT @ABSetyono: Menkominfo @PlateJohnny : Kominfo Prioritaskan Tiga Agenda dalam G20 Indonesia 2022

@kemkominfo memberikan tiga isu priorit…",neutral,"rt @absetyono: menkominfo @platejohnny : kominfo prioritaskan tiga agenda dalam g20 indonesia 2022

@kemkominfo memberikan tiga isu priorit…","rt : menkominfo  : kominfo prioritaskan tiga agenda dalam g20 indonesia 2022

 memberikan tiga isu priorit…",  menkominfo  kominfo prioritaskan tiga agenda dalam  indonesia  memberikan tiga isu priorit,"['menkominfo', 'kominfo', 'prioritaskan', 'tiga', 'agenda', 'dalam', 'indonesia', 'memberikan', 'tiga', 'isu', 'priorit']","['menteri komunikasi dan informasi', 'kominfo', 'prioritaskan', 'tiga', 'agenda', 'dalam', 'indonesia', 'memberikan', 'tiga', 'isu', 'priorit']","['menteri komunikasi dan informasi', 'kominfo', 'prioritaskan', 'agenda', 'indonesia', 'isu', 'priorit']","['menteri komunikasi dan informasi', 'kominfo', 'prioritas', 'agenda', 'indonesia', 'isu', 'priorit']"
11,"RT @TedHilbert: Video bagus tentang kontrak vaksin rahasia. Hal yang sama juga terjadi di Indonesia.
Kami juga telah menerbitkan kontrak ra…",pos,"rt @tedhilbert: video bagus tentang kontrak vaksin rahasia. hal yang sama juga terjadi di indonesia.
kami juga telah menerbitkan kontrak ra…","rt : video bagus tentang kontrak vaksin rahasia. hal yang sama juga terjadi di indonesia.
kami juga telah menerbitkan kontrak ra…",  video bagus tentang kontrak vaksin rahasia hal yang sama juga terjadi di indonesia kami juga telah menerbitkan kontrak ra,"['video', 'bagus', 'tentang', 'kontrak', 'vaksin', 'rahasia', 'hal', 'yang', 'sama', 'juga', 'terjadi', 'di', 'indonesia', 'kami', 'juga', 'telah', 'menerbitkan', 'kontrak', 'ra']","['video', 'bagus', 'tentang', 'kontrak', 'vaksin', 'rahasia', 'hal', 'yang', 'sama', 'juga', 'terjadi', 'di', 'indonesia', 'kami', 'juga', 'telah', 'menerbitkan', 'kontrak', 'ra']","['video', 'bagus', 'kontrak', 'vaksin', 'rahasia', 'indonesia', 'menerbitkan', 'kontrak', 'ra']","['video', 'bagus', 'kontrak', 'vaksin', 'rahasia', 'indonesia', 'terbit', 'kontrak', 'ra']"
12,"Indonesia Dinyatakan Memiliki Tingkat Penularan Rendah, Jubir Vaksin Ingatkan Varian Baru Covid-19… https://t.co/FXY8aGTy4n",pos,"indonesia dinyatakan memiliki tingkat penularan rendah, jubir vaksin ingatkan varian baru covid-19… https://t.co/fxy8agty4n","indonesia dinyatakan memiliki tingkat penularan rendah, jubir vaksin ingatkan varian baru covid-19… https://t.co/fxy8agty4n",indonesia dinyatakan memiliki tingkat penularan rendah jubir vaksin ingatkan varian baru covid,"['indonesia', 'dinyatakan', 'memiliki', 'tingkat', 'penularan', 'rendah', 'jubir', 'vaksin', 'ingatkan', 'varian', 'baru', 'covid']","['indonesia', 'dinyatakan', 'memiliki', 'tingkat', 'penularan', 'rendah', 'juru bicara', 'vaksin', 'ingatkan', 'varian', 'baru', 'covid']","['indonesia', 'dinyatakan', 'memiliki', 'tingkat', 'penularan', 'rendah', 'juru bicara', 'vaksin', 'ingatkan', 'varian', 'covid']","['indonesia', 'nyata', 'milik', 'tingkat', 'tular', 'rendah', 'juru bicara', 'vaksin', 'ingat', 'varian', 'covid']"
13,"Jokowi: Indonesia Capai Babak Baru Vaksinasi Massal Covid-19

@jokowi
#vaksinasi
 https://t.co/tTsNckcAXm",neutral,"jokowi: indonesia capai babak baru vaksinasi massal covid-19

@jokowi
#vaksinasi
 https://t.co/ttsnckcaxm","jokowi: indonesia capai babak baru vaksinasi massal covid-19


#vaksinasi
 https://t.co/ttsnckcaxm",jokowi indonesia capai babak baru vaksinasi massal covid,"['jokowi', 'indonesia', 'capai', 'babak', 'baru', 'vaksinasi', 'massal', 'covid']","['jokowi', 'indonesia', 'capai', 'babak', 'baru', 'vaksinasi', 'massal', 'covid']","['jokowi', 'indonesia', 'capai', 'babak', 'vaksinasi', 'massal', 'covid']","['jokowi', 'indonesia', 'capai', 'babak', 'vaksinasi', 'massal', 'covid']"
14,"RT @asumsico: Per hari Minggu (7/11/2021), kasus positif Covid-19 di Indonesia bertambah 444 orang. Sementara kasus kesembuhan bertambah 58…",neg,"rt @asumsico: per hari minggu (7/11/2021), kasus positif covid-19 di indonesia bertambah 444 orang. sementara kasus kesembuhan bertambah 58…","rt : per hari minggu (7/11/2021), kasus positif covid-19 di indonesia bertambah 444 orang. sementara kasus kesembuhan bertambah 58…",  per hari minggu  kasus positif covid di indonesia beambah  orang sementara kasus kesembuhan beambah ,"['per', 'hari', 'minggu', 'kasus', 'positif', 'covid', 'di', 'indonesia', 'beambah', 'orang', 'sementara', 'kasus', 'kesembuhan', 'beambah']","['per', 'hari', 'minggu', 'kasus', 'positif', 'covid', 'di', 'indonesia', 'beambah', 'orang', 'sementara', 'kasus', 'kesembuhan', 'beambah']","['minggu', 'positif', 'covid', 'indonesia', 'beambah', 'orang', 'kesembuhan', 'beambah']","['minggu', 'positif', 'covid', 'indonesia', 'beambah', 'orang', 'sembuh', 'beambah']"
15,"RT @AbimanyuDerrien: Ekonomi Tumbuh Positif di Puncak Pandemi, BUKTI Adaptasi New Normal Berjalan Baik.

Indonesia berhasil memprthnkn pert…",pos,"rt @abimanyuderrien: ekonomi tumbuh positif di puncak pandemi, bukti adaptasi new normal berjalan baik.

indonesia berhasil memprthnkn pert…","rt : ekonomi tumbuh positif di puncak pandemi, bukti adaptasi new normal berjalan baik.

indonesia berhasil memprthnkn pert…",  ekonomi tumbuh positif di puncak pandemi bukti adaptasi new normal berjalan baik indonesia berhasil memphnkn pe,"['ekonomi', 'tumbuh', 'positif', 'di', 'puncak', 'pandemi', 'bukti', 'adaptasi', 'new', 'normal', 'berjalan', 'baik', 'indonesia', 'berhasil', 'memphnkn', 'pe']","['ekonomi', 'tumbuh', 'positif', 'di', 'puncak', 'pandemi', 'bukti', 'adaptasi', 'new', 'normal', 'berjalan', 'baik', 'indonesia', 'berhasil', 'memphnkn', 'pe']","['ekonomi', 'tumbuh', 'positif', 'puncak', 'pandemi', 'bukti', 'adaptasi', 'new', 'normal', 'berjalan', 'indonesia', 'berhasil', 'memphnkn', 'pe']","['ekonomi', 'tumbuh', 'positif', 'puncak', 'pandemi', 'bukti', 'adaptasi', 'new', 'normal', 'jalan', 'indonesia', 'hasil', 'memphnkn', 'pe']"
16,"RT @Alin_tan11: Dengan perolehan skor tersebut, Indonesia masih menempati peringkat teratas di Asia Tenggara dalam pemulihan Covid-19 menur…",neutral,"rt @alin_tan11: dengan perolehan skor tersebut, indonesia masih menempati peringkat teratas di asia tenggara dalam pemulihan covid-19 menur…","rt : dengan perolehan skor tersebut, indonesia masih menempati peringkat teratas di asia tenggara dalam pemulihan covid-19 menur…",  dengan perolehan skor tersebut indonesia masih menempati peringkat teratas di asia tenggara dalam pemulihan covid menur,"['dengan', 'perolehan', 'skor', 'tersebut', 'indonesia', 'masih', 'menempati', 'peringkat', 'teratas', 'di', 'asia', 'tenggara', 'dalam', 'pemulihan', 'covid', 'menur']","['dengan', 'perolehan', 'skor', 'tersebut', 'indonesia', 'masih', 'menempati', 'peringkat', 'teratas', 'di', 'asia', 'tenggara', 'dalam', 'pemulihan', 'covid', 'menur']","['perolehan', 'skor', 'indonesia', 'menempati', 'peringkat', 'teratas', 'asia', 'tenggara', 'pemulihan', 'covid', 'menur']","['oleh', 'skor', 'indonesia', 'tempat', 'peringkat', 'atas', 'asia', 'tenggara', 'pulih', 'covid', 'menur']"
17,RT @Alin_tan11: Indonesia diapresiasi sebagai salah satu negara yang berhasil dalam menangani pandemi Covid-19 karena mampu menurunkan kasu…,pos,rt @alin_tan11: indonesia diapresiasi sebagai salah satu negara yang berhasil dalam menangani pandemi covid-19 karena mampu menurunkan kasu…,rt : indonesia diapresiasi sebagai salah satu negara yang berhasil dalam menangani pandemi covid-19 karena mampu menurunkan kasu…,  indonesia diapresiasi sebagai salah satu negara yang berhasil dalam menangani pandemicovidkarena mampu menurunkan kasu,"['indonesia', 'diapresiasi', 'sebagai', 'salah', 'satu', 'negara', 'yang', 'berhasil', 'dalam', 'menangani', 'pandemicovidkarena', 'mampu', 'menurunkan', 'kasu']","['indonesia', 'diapresiasi', 'sebagai', 'salah', 'satu', 'negara', 'yang', 'berhasil', 'dalam', 'menangani', 'pandemicovidkarena', 'mampu', 'menurunkan', 'kasu']","['indonesia', 'diapresiasi', 'salah', 'negara', 'berhasil', 'menangani', 'pandemicovidkarena', 'menurunkan', 'kasu']","['indonesia', 'apresiasi', 'salah', 'negara', 'hasil', 'tangan', 'pandemicovidkarena', 'turun', 'kasu']"
