,isi_tweet,label,case_folding,remove_user,cleansing,tokenizing,normalization,remove_stop_word,stemming
18,Indonesia Resmi Keluar dari Daftar Zona Merah Covid-19 Versi Inggris #ZonaHijauCovid https://t.co/M0D7W00SCl,pos,indonesia resmi keluar dari daftar zona merah covid-19 versi inggris #zonahijaucovid https://t.co/m0d7w00scl,indonesia resmi keluar dari daftar zona merah covid-19 versi inggris #zonahijaucovid https://t.co/m0d7w00scl,indonesia resmi keluar dari daftar zona merah covid versi inggris,"['indonesia', 'resmi', 'keluar', 'dari', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris']","['indonesia', 'resmi', 'keluar', 'dari', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris']","['indonesia', 'resmi', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris']","['indonesia', 'resmi', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris']"
19,gue kira positif covid awalnya🙃 https://t.co/dc23y6EHXE,neg,gue kira positif covid awalnya🙃 https://t.co/dc23y6ehxe,gue kira positif covid awalnya🙃 https://t.co/dc23y6ehxe,gue kira positif covid awalnya,"['gue', 'kira', 'positif', 'covid', 'awalnya']","['gue', 'kira', 'positif', 'covid', 'awalnya']","['positif', 'covid']","['positif', 'covid']"
20,"Cegah Covid-19, Polsek Basarang Patroli Dialogis Ajak Warga Bersama Patuhi Protokol Kesehatan https://t.co/ZTDZwyswTy",neg,"cegah covid-19, polsek basarang patroli dialogis ajak warga bersama patuhi protokol kesehatan https://t.co/ztdzwyswty","cegah covid-19, polsek basarang patroli dialogis ajak warga bersama patuhi protokol kesehatan https://t.co/ztdzwyswty",cegah covid polsek basarang patroli dialogis ajak warga bersama patuhi protokolkesehatan,"['cegah', 'covid', 'polsek', 'basarang', 'patroli', 'dialogis', 'ajak', 'warga', 'bersama', 'patuhi', 'protokolkesehatan']","['cegah', 'covid', 'kepolisian sektor', 'basarang', 'patroli', 'dialogis', 'ajak', 'warga', 'bersama', 'patuhi', 'protokolkesehatan']","['cegah', 'covid', 'kepolisian sektor', 'basarang', 'patroli', 'dialogis', 'ajak', 'warga', 'patuhi', 'protokolkesehatan']","['cegah', 'covid', 'polisi sektor', 'basarang', 'patroli', 'dialogis', 'ajak', 'warga', 'patuh', 'protokolkesehatan']"
21,RT @JudiMargan2: @AaBay81 @iyuk1975 @na_dirs Otak bebal mana mungkin bisa ngasih saran... maksudmu saran dari Kadrun otak sungsang ... mere…,pos,rt @judimargan2: @aabay81 @iyuk1975 @na_dirs otak bebal mana mungkin bisa ngasih saran... maksudmu saran dari kadrun otak sungsang ... mere…,rt :    otak bebal mana mungkin bisa ngasih saran... maksudmu saran dari kadrun otak sungsang ... mere…,  otak bebal mana mungkin bisa ngasih saran maksudmu saran dari kadrun otak sungsang  mere,"['otak', 'bebal', 'mana', 'mungkin', 'bisa', 'ngasih', 'saran', 'maksudmu', 'saran', 'dari', 'kadrun', 'otak', 'sungsang', 'mere']","['otak', 'bebal', 'mana', 'mungkin', 'bisa', 'memberi', 'saran', 'maksudmu', 'saran', 'dari', 'kadrun', 'otak', 'sungsang', 'mere']","['otak', 'bebal', 'saran', 'maksudmu', 'saran', 'kadrun', 'otak', 'sungsang', 'mere']","['otak', 'bebal', 'saran', 'maksud', 'saran', 'kadrun', 'otak', 'sungsang', 'mere']"
22,"RT @Uki23: Kalo Covid gak terkendali ya salah Jokowi. Kalo terkendali ya jasanya @LaporCovid. Gitu lho.

Indonesia Urutan Teratas Se-Asia T…",neg,"rt @uki23: kalo covid gak terkendali ya salah jokowi. kalo terkendali ya jasanya @laporcovid. gitu lho.

indonesia urutan teratas se-asia t…","rt : kalo covid gak terkendali ya salah jokowi. kalo terkendali ya jasanya . gitu lho.

indonesia urutan teratas se-asia t…",  kalo covid gak terkendali ya salah jokowi kalo terkendali ya jasanya  gitu lho indonesia urutan teratas seasia ,"['kalo', 'covid', 'gak', 'terkendali', 'ya', 'salah', 'jokowi', 'kalo', 'terkendali', 'ya', 'jasanya', 'gitu', 'lho', 'indonesia', 'urutan', 'teratas', 'seasia']","['kalau', 'covid', 'tidak', 'terkendali', 'ya', 'salah', 'jokowi', 'kalau', 'terkendali', 'ya', 'jasanya', 'begitu', 'lo', 'indonesia', 'urutan', 'teratas', 'seasia']","['covid', 'terkendali', 'salah', 'jokowi', 'terkendali', 'jasanya', 'lo', 'indonesia', 'urutan', 'teratas', 'seasia']","['covid', 'kendali', 'salah', 'jokowi', 'kendali', 'jasa', 'lo', 'indonesia', 'urut', 'atas', 'seasia']"
23,RT @pijarpsikologi: Pandemi Covid-19 telah memberikan dampak yang cukup besar pada kesehatan mental masyarakat. Kesehatan mental adalah hak…,neutral,rt @pijarpsikologi: pandemi covid-19 telah memberikan dampak yang cukup besar pada kesehatan mental masyarakat. kesehatan mental adalah hak…,rt : pandemi covid-19 telah memberikan dampak yang cukup besar pada kesehatan mental masyarakat. kesehatan mental adalah hak…,  pandemi covid telah memberikan dampak yang cukup besar pada kesehatan mental masyarakat kesehatan mental adalah hak,"['pandemi', 'covid', 'telah', 'memberikan', 'dampak', 'yang', 'cukup', 'besar', 'pada', 'kesehatan', 'mental', 'masyarakat', 'kesehatan', 'mental', 'adalah', 'hak']","['pandemi', 'covid', 'telah', 'memberikan', 'dampak', 'yang', 'cukup', 'besar', 'pada', 'kesehatan', 'mental', 'masyarakat', 'kesehatan', 'mental', 'adalah', 'hak']","['pandemi', 'covid', 'dampak', 'kesehatan', 'mental', 'masyarakat', 'kesehatan', 'mental', 'hak']","['pandemi', 'covid', 'dampak', 'sehat', 'mental', 'masyarakat', 'sehat', 'mental', 'hak']"
24,Diabetes Jadi Penyerta Kematian Covid-19 Tertinggi di Batam https://t.co/IKw7OeglrK,neg,diabetes jadi penyerta kematian covid-19 tertinggi di batam https://t.co/ikw7oeglrk,diabetes jadi penyerta kematian covid-19 tertinggi di batam https://t.co/ikw7oeglrk,diabetes jadi penyea kematian covid teinggi di batam,"['diabetes', 'jadi', 'penyea', 'kematian', 'covid', 'teinggi', 'di', 'batam']","['diabetes', 'jadi', 'penyea', 'kematian', 'covid', 'teinggi', 'di', 'batam']","['diabetes', 'penyea', 'kematian', 'covid', 'teinggi', 'batam']","['diabetes', 'penyea', 'mati', 'covid', 'teinggi', 'batam']"
25,"RT @rahahahafiz: Harga balik kampung Saliva Covid-19 Test kit RM15 sekotak!

Whatsapp: https://t.co/QPEVh1wOkj lepas tu cakap nak balik kam…",neg,"rt @rahahahafiz: harga balik kampung saliva covid-19 test kit rm15 sekotak!

whatsapp: https://t.co/qpevh1wokj lepas tu cakap nak balik kam…","rt : harga balik kampung saliva covid-19 test kit rm15 sekotak!

whatsapp: https://t.co/qpevh1wokj lepas tu cakap nak balik kam…",  harga balik kampung saliva covid test kit rm sekotak whatsapp lepas tu cakap nak balik kam,"['harga', 'balik', 'kampung', 'saliva', 'covid', 'test', 'kit', 'rm', 'sekotak', 'whatsapp', 'lepas', 'tu', 'cakap', 'nak', 'balik', 'kam']","['harga', 'balik', 'kampung', 'saliva', 'covid', 'tes', 'kit', 'rm', 'sekotak', 'whatsapp', 'lepas', 'itu', 'cakap', 'nak', 'balik', 'kamu']","['harga', 'kampung', 'saliva', 'covid', 'tes', 'kit', 'rm', 'sekotak', 'whatsapp', 'lepas', 'cakap', 'nak']","['harga', 'kampung', 'saliva', 'covid', 'tes', 'kit', 'rm', 'kotak', 'whatsapp', 'lepas', 'cakap', 'nak']"
26,"Udah 3 bulan pasca covid tapi kapan yaa brain fog ini hilang.
Buat aku yang tiap hari kerjaan berhubungan sama hitu… https://t.co/lRT0X6iccv",neg,"udah 3 bulan pasca covid tapi kapan yaa brain fog ini hilang.
buat aku yang tiap hari kerjaan berhubungan sama hitu… https://t.co/lrt0x6iccv","udah 3 bulan pasca covid tapi kapan yaa brain fog ini hilang.
buat aku yang tiap hari kerjaan berhubungan sama hitu… https://t.co/lrt0x6iccv",udah  bulan pasca covid tapi kapan yaa brain fog ini hilang buat aku yang tiap hari kerjaan berhubungan sama hitu,"['udah', 'bulan', 'pasca', 'covid', 'tapi', 'kapan', 'yaa', 'brain', 'fog', 'ini', 'hilang', 'buat', 'aku', 'yang', 'tiap', 'hari', 'kerjaan', 'berhubungan', 'sama', 'hitu']","['sudah', 'bulan', 'pasca', 'covid', 'tapi', 'kapan', 'ya', 'brain', 'fog', 'ini', 'hilang', 'buat', 'aku', 'yang', 'tiap', 'hari', 'pekerjaan', 'berhubungan', 'sama', 'hitu']","['pasca', 'covid', 'brain', 'fog', 'hilang', 'pekerjaan', 'berhubungan', 'hitu']","['pasca', 'covid', 'brain', 'fog', 'hilang', 'kerja', 'hubung', 'hitu']"
27,"RT @miund: Wah, ternyata Indonesia masuk ranking nomer sekian ya dalam penanganan Covid. Semoga terus membaik ke depannya. 

That should’ve…",neg,"rt @miund: wah, ternyata indonesia masuk ranking nomer sekian ya dalam penanganan covid. semoga terus membaik ke depannya. 

that should’ve…","rt : wah, ternyata indonesia masuk ranking nomer sekian ya dalam penanganan covid. semoga terus membaik ke depannya. 

that should’ve…",  wah ternyata indonesia masuk ranking nomer sekian ya dalam penanganan covid semoga terus membaik ke depannya that shouldve,"['wah', 'ternyata', 'indonesia', 'masuk', 'ranking', 'nomer', 'sekian', 'ya', 'dalam', 'penanganan', 'covid', 'semoga', 'terus', 'membaik', 'ke', 'depannya', 'that', 'shouldve']","['wah', 'ternyata', 'indonesia', 'masuk', 'ranking', 'nomer', 'sekian', 'ya', 'dalam', 'penanganan', 'covid', 'semoga', 'terus', 'membaik', 'ke', 'depannya', 'that', 'shouldve']","['indonesia', 'masuk', 'ranking', 'nomer', 'sekian', 'penanganan', 'covid', 'semoga', 'membaik', 'depannya', 'that', 'shouldve']","['indonesia', 'masuk', 'ranking', 'nomer', 'sekian', 'tangan', 'covid', 'moga', 'baik', 'depan', 'that', 'shouldve']"
28,Data Kasus Positif dan Kematian Covid-19  sampai 10 Oktober 2021 https://t.co/Ws1Nj7aftW https://t.co/fjWbBCLik1,neutral,data kasus positif dan kematian covid-19  sampai 10 oktober 2021 https://t.co/ws1nj7aftw https://t.co/fjwbbclik1,data kasus positif dan kematian covid-19  sampai 10 oktober 2021 https://t.co/ws1nj7aftw https://t.co/fjwbbclik1,data kasus positif dan kematian covid sampai  oktober ,"['data', 'kasus', 'positif', 'dan', 'kematian', 'covid', 'sampai', 'oktober']","['data', 'kasus', 'positif', 'dan', 'kematian', 'covid', 'sampai', 'oktober']","['data', 'positif', 'kematian', 'covid', 'oktober']","['data', 'positif', 'mati', 'covid', 'oktober']"
29,"RT @edjunaidi: Again, guys. Dr Siti Mariah. India sendiri pun dah stop Ivermectin dari list of Covid-19 treatment. 🤷‍♂️",neutral,"rt @edjunaidi: again, guys. dr siti mariah. india sendiri pun dah stop ivermectin dari list of covid-19 treatment. 🤷‍♂️","rt : again, guys. dr siti mariah. india sendiri pun dah stop ivermectin dari list of covid-19 treatment. 🤷‍♂️",  again guys dr siti mariah india sendiri pun dah stop ivermectin dari list of covid treatment ,"['again', 'guys', 'dr', 'siti', 'mariah', 'india', 'sendiri', 'pun', 'dah', 'stop', 'ivermectin', 'dari', 'list', 'of', 'covid', 'treatment']","['again', 'guys', 'dari', 'siti', 'mariah', 'india', 'sendiri', 'punah', 'sudah', 'stop', 'ivermectin', 'dari', 'list', 'of', 'covid', 'treatment']","['again', 'guys', 'siti', 'mariah', 'india', 'punah', 'stop', 'ivermectin', 'list', 'of', 'covid', 'treatment']","['again', 'guys', 'siti', 'mariah', 'india', 'punah', 'stop', 'ivermectin', 'list', 'of', 'covid', 'treatment']"
30,"RT @AfiqMahadhir: 6. MAURITANIA
- Negative Covid Test
- Kuarantin 10 hari
- Lain2 info tidak lengkap https://t.co/P7FZB0qrUr",neg,"rt @afiqmahadhir: 6. mauritania
- negative covid test
- kuarantin 10 hari
- lain2 info tidak lengkap https://t.co/p7fzb0qrur","rt : 6. mauritania
- negative covid test
- kuarantin 10 hari
- lain2 info tidak lengkap https://t.co/p7fzb0qrur",   mauritania  negative covid test  kuarantin  hari  lain info tidak lengkap,"['mauritania', 'negative', 'covid', 'test', 'kuarantin', 'hari', 'lain', 'info', 'tidak', 'lengkap']","['mauritania', 'negative', 'covid', 'tes', 'kuarantin', 'hari', 'lain', 'info', 'tidak', 'lengkap']","['mauritania', 'negative', 'covid', 'tes', 'kuarantin', 'info', 'lengkap']","['mauritania', 'negative', 'covid', 'tes', 'kuarantin', 'info', 'lengkap']"
31,"Polisi Italia menangkap 12 orang, termasuk pejabat tinggi partai sayap kanan ekstrem Forza Nuova, menyusul bentroka… https://t.co/htFkFBbMkJ",neutral,"polisi italia menangkap 12 orang, termasuk pejabat tinggi partai sayap kanan ekstrem forza nuova, menyusul bentroka… https://t.co/htfkfbbmkj","polisi italia menangkap 12 orang, termasuk pejabat tinggi partai sayap kanan ekstrem forza nuova, menyusul bentroka… https://t.co/htfkfbbmkj",polisi italia menangkap  orang termasuk pejabat tinggi paai sayap kanan ekstrem forza nuova menyusul bentroka,"['polisi', 'italia', 'menangkap', 'orang', 'termasuk', 'pejabat', 'tinggi', 'paai', 'sayap', 'kanan', 'ekstrem', 'forza', 'nuova', 'menyusul', 'bentroka']","['polisi', 'italia', 'menangkap', 'orang', 'termasuk', 'pejabat', 'tinggi', 'paai', 'sayap', 'kanan', 'ekstrem', 'forza', 'nuova', 'menyusul', 'bentroka']","['polisi', 'italia', 'menangkap', 'orang', 'pejabat', 'paai', 'sayap', 'kanan', 'ekstrem', 'forza', 'nuova', 'menyusul', 'bentroka']","['polisi', 'italia', 'tangkap', 'orang', 'jabat', 'paai', 'sayap', 'kanan', 'ekstrem', 'forza', 'nuova', 'susul', 'bentroka']"
32,@Yahoo_ID Kasian Covid-19 jadi tumbal terus.. dipojokan dan disalahkan,neg,@yahoo_id kasian covid-19 jadi tumbal terus.. dipojokan dan disalahkan, kasian covid-19 jadi tumbal terus.. dipojokan dan disalahkan,kasian covid jadi tumbal terus dipojokan dan disalahkan,"['kasian', 'covid', 'jadi', 'tumbal', 'terus', 'dipojokan', 'dan', 'disalahkan']","['kasihan', 'covid', 'jadi', 'tumbal', 'terus', 'dipojokan', 'dan', 'disalahkan']","['kasihan', 'covid', 'tumbal', 'dipojokan', 'disalahkan']","['kasihan', 'covid', 'tumbal', 'pojok', 'salah']"
33,@prilsssssss Makanya kita udah pernah ngobrol sih andai Papi kena covid gimana. JH diangkut buat karantina di rumah… https://t.co/EgQcTWvQqt,pos,@prilsssssss makanya kita udah pernah ngobrol sih andai papi kena covid gimana. jh diangkut buat karantina di rumah… https://t.co/egqctwvqqt, makanya kita udah pernah ngobrol sih andai papi kena covid gimana. jh diangkut buat karantina di rumah… https://t.co/egqctwvqqt,makanya kita udah pernah ngobrol sih andai papi kena covid gimana jh diangkut buat karantina di rumah,"['makanya', 'kita', 'udah', 'pernah', 'ngobrol', 'sih', 'andai', 'papi', 'kena', 'covid', 'gimana', 'jh', 'diangkut', 'buat', 'karantina', 'di', 'rumah']","['makanya', 'kita', 'sudah', 'pernah', 'mengobrol', 'sih', 'andai', 'papi', 'kena', 'covid', 'bagaimana', 'jh', 'diangkut', 'buat', 'karantina', 'di', 'rumah']","['mengobrol', 'andai', 'papi', 'kena', 'covid', 'jh', 'diangkut', 'karantina', 'rumah']","['obrol', 'andai', 'papi', 'kena', 'covid', 'jh', 'angkut', 'karantina', 'rumah']"
34,"RT @BuletinTV3: COVID-19 | 7,373 kes harian baharu dilaporkan. https://t.co/KZsnBiLz20",neutral,"rt @buletintv3: covid-19 | 7,373 kes harian baharu dilaporkan. https://t.co/kzsnbilz20","rt : covid-19 | 7,373 kes harian baharu dilaporkan. https://t.co/kzsnbilz20",  covid   kes harian baharu dilaporkan,"['covid', 'kes', 'harian', 'baharu', 'dilaporkan']","['covid', 'kes', 'harian', 'baharu', 'dilaporkan']","['covid', 'kes', 'harian', 'baharu', 'dilaporkan']","['covid', 'kes', 'hari', 'baharu', 'lapor']"
35,Sedangkan kasus kematian bertambah 52 kematian hari ini menjadi total kematian akibat Covid-19 sebanyak 142.612 ora… https://t.co/zxjf35qUbG,pos,sedangkan kasus kematian bertambah 52 kematian hari ini menjadi total kematian akibat covid-19 sebanyak 142.612 ora… https://t.co/zxjf35qubg,sedangkan kasus kematian bertambah 52 kematian hari ini menjadi total kematian akibat covid-19 sebanyak 142.612 ora… https://t.co/zxjf35qubg,sedangkan kasus kematian beambah  kematian hari ini menjadi total kematian akibat covid sebanyak  ora,"['sedangkan', 'kasus', 'kematian', 'beambah', 'kematian', 'hari', 'ini', 'menjadi', 'total', 'kematian', 'akibat', 'covid', 'sebanyak', 'ora']","['sedangkan', 'kasus', 'kematian', 'beambah', 'kematian', 'hari', 'ini', 'menjadi', 'total', 'kematian', 'akibat', 'covid', 'sebanyak', 'tidak']","['kematian', 'beambah', 'kematian', 'total', 'kematian', 'akibat', 'covid']","['mati', 'beambah', 'mati', 'total', 'mati', 'akibat', 'covid']"
36,"RT @hazman92_: Siapa yang ambil Sinovac, masih dikategorikan sebagai unvaccinated daripada government UK yaa. Still kena kuarantin 10 days…",neutral,"rt @hazman92_: siapa yang ambil sinovac, masih dikategorikan sebagai unvaccinated daripada government uk yaa. still kena kuarantin 10 days…","rt : siapa yang ambil sinovac, masih dikategorikan sebagai unvaccinated daripada government uk yaa. still kena kuarantin 10 days…",  siapa yang ambil sinovac masih dikategorikan sebagai unvaccinated daripada government uk yaa still kena kuarantin  days,"['siapa', 'yang', 'ambil', 'sinovac', 'masih', 'dikategorikan', 'sebagai', 'unvaccinated', 'daripada', 'government', 'uk', 'yaa', 'still', 'kena', 'kuarantin', 'days']","['siapa', 'yang', 'ambil', 'sinovac', 'masih', 'dikategorikan', 'sebagai', 'unvaccinated', 'daripada', 'government', 'united kingdom', 'ya', 'still', 'kena', 'kuarantin', 'days']","['ambil', 'sinovac', 'dikategorikan', 'unvaccinated', 'government', 'united kingdom', 'still', 'kena', 'kuarantin', 'days']","['ambil', 'sinovac', 'kategori', 'unvaccinated', 'government', 'united kingdom', 'still', 'kena', 'kuarantin', 'days']"
37,"RT @Jhonkosmik: Mall dan bioskop di buka, PON serta pilkada digelar.
Sementara hari libur Maulid diundur dengan alasan Covid.

Republik Wak…",neg,"rt @jhonkosmik: mall dan bioskop di buka, pon serta pilkada digelar.
sementara hari libur maulid diundur dengan alasan covid.

republik wak…","rt : mall dan bioskop di buka, pon serta pilkada digelar.
sementara hari libur maulid diundur dengan alasan covid.

republik wak…",  mall dan bioskop di buka pon sea pilkada digelar sementara hari libur maulid diundur dengan alasan covid republik wak,"['mall', 'dan', 'bioskop', 'di', 'buka', 'pon', 'sea', 'pilkada', 'digelar', 'sementara', 'hari', 'libur', 'maulid', 'diundur', 'dengan', 'alasan', 'covid', 'republik', 'wak']","['mal', 'dan', 'bioskop', 'di', 'buka', 'pon', 'sea', 'pilihan kepala daerah', 'digelar', 'sementara', 'hari', 'libur', 'maulid', 'diundur', 'dengan', 'alasan', 'covid', 'republik', 'wak']","['mal', 'bioskop', 'buka', 'pon', 'sea', 'pilihan kepala daerah', 'digelar', 'libur', 'maulid', 'diundur', 'alasan', 'covid', 'republik', 'wak']","['mal', 'bioskop', 'buka', 'pon', 'sea', 'pilih kepala daerah', 'gelar', 'libur', 'maulid', 'undur', 'alas', 'covid', 'republik', 'wak']"
